File Name	What is the Word?	Meaning of the Word	Sentence	IPA Transliteration	English Translation	Sound	Image
0002_ആയിരിക്കും_01	ആയിരിക്കും	"""ആയിരിക്കും"" (aayirikkum) means ""will be"" or ""might be"" in English. It expresses possibility, likelihood, or future tense with a degree of uncertainty."	അത് ശരിയായിരിക്കും.	/ɐt̪ɨ̆ ʃɐɾiyɐːyirikkum/	That might be right.	[sound:0002_ആയിരിക്കും_01.mp3]	"<img src=""0002_ആയിരിക്കും_01.jpg"">"
0002_ആയിരിക്കും_02	ആയിരിക്കും	"""ആയിരിക്കും"" (aayirikkum) means ""will be"" or ""might be"" in English. It expresses possibility, likelihood, or future tense with a degree of uncertainty."	അവൻ നാളെ വരും, ആയിരിക്കും.	/ɐʋɐn̪ naːɭe ʋɐɾum, aːyirikkum/	He will come tomorrow, maybe.	[sound:0002_ആയിരിക്കും_02.mp3]	"<img src=""0002_ആയിരിക്കും_02.jpg"">"
0002_ആയിരിക്കും_03	ആയിരിക്കും	"""ആയിരിക്കും"" (aayirikkum) means ""will be"" or ""might be"" in English. It expresses possibility, likelihood, or future tense with a degree of uncertainty."	അവൾക്ക് സന്തോഷം ആയിരിക്കും.	/ɐʋɐɭkːɨ̆ saⁿt̪oːʃɐm aːyirikkum/	She will be happy.	[sound:0002_ആയിരിക്കും_03.mp3]	"<img src=""0002_ആയിരിക്കും_03.jpg"">"
0002_ആയിരിക്കും_04	ആയിരിക്കും	"""ആയിരിക്കും"" (aayirikkum) means ""will be"" or ""might be"" in English. It expresses possibility, likelihood, or future tense with a degree of uncertainty."	അത് എളുപ്പമായിരിക്കും എന്ന് തോന്നുന്നു.	/ɐt̪ɨ̆ eɭuppɐmaːyirikkum ennɨ t̪oːnnunnu/	It seems like it might be easy.	[sound:0002_ആയിരിക്കും_04.mp3]	"<img src=""0002_ആയിരിക്കും_04.jpg"">"
0002_ആയിരിക്കും_05	ആയിരിക്കും	"""ആയിരിക്കും"" (aayirikkum) means ""will be"" or ""might be"" in English. It expresses possibility, likelihood, or future tense with a degree of uncertainty."	നാളെ മഴ പെയ്യാൻ സാധ്യതയുണ്ട്, ആയിരിക്കും.	/naːɭe mɐɻɐ peyyɐːn̪ saːd̪͡ʱjɐt̪ɐjuɳɖɨ̆, aːyirikkum/	There is a chance of rain tomorrow, maybe.	[sound:0002_ആയിരിക്കും_05.mp3]	"<img src=""0002_ആയിരിക്കും_05.jpg"">"
0002_ആയിരിക്കും_06	ആയിരിക്കും	"""ആയിരിക്കും"" (aayirikkum) means ""will be"" or ""might be"" in English. It expresses possibility, likelihood, or future tense with a degree of uncertainty."	അവർക്ക് അത് അറിയാമായിരിക്കും.	/ɐʋɐrkːɨ̆ ɐt̪ɨ̆ ɐɾiyaːmaːyirikkum/	They probably know it.	[sound:0002_ആയിരിക്കും_06.mp3]	"<img src=""0002_ആയിരിക്കും_06.jpg"">"
0002_ആയിരിക്കും_07	ആയിരിക്കും	"""ആയിരിക്കും"" (aayirikkum) means ""will be"" or ""might be"" in English. It expresses possibility, likelihood, or future tense with a degree of uncertainty."	അവൻ ഒരു ഡോക്ടർ ആയിരിക്കും.	/ɐʋɐn̪ oɾu ɖoːkːt̪ɐr aːyirikkum/	He might be a doctor.	[sound:0002_ആയിരിക്കും_07.mp3]	"<img src=""0002_ആയിരിക്കും_07.jpg"">"
0002_ആയിരിക്കും_08	ആയിരിക്കും	"""ആയിരിക്കും"" (aayirikkum) means ""will be"" or ""might be"" in English. It expresses possibility, likelihood, or future tense with a degree of uncertainty."	അവർ വൈകി വരും, ആയിരിക്കും.	/ɐʋɐr ʋɐiki ʋɐɾum, aːyirikkum/	They might come late.	[sound:0002_ആയിരിക്കും_08.mp3]	"<img src=""0002_ആയിരിക്കും_08.jpg"">"
0002_ആയിരിക്കും_09	ആയിരിക്കും	"""ആയിരിക്കും"" (aayirikkum) means ""will be"" or ""might be"" in English. It expresses possibility, likelihood, or future tense with a degree of uncertainty."	ഈ സിനിമ നല്ലതായിരിക്കും എന്ന് കരുതുന്നു.	/iː sinimɐ nɐllɐt̪aːyirikkum ennɨ kɐɾut̪unnɨ/	I think this movie might be good.	[sound:0002_ആയിരിക്കും_09.mp3]	"<img src=""0002_ആയിരിക്കും_09.jpg"">"
0002_ആയിരിക്കും_10	ആയിരിക്കും	"""ആയിരിക്കും"" (aayirikkum) means ""will be"" or ""might be"" in English. It expresses possibility, likelihood, or future tense with a degree of uncertainty."	അത് ഒരു നല്ല തീരുമാനം ആയിരിക്കും.	/ɐt̪ɨ̆ oɾu nɐllɐ t̪iːɾumaːnɐm aːyirikkum/	That might be a good decision.	[sound:0002_ആയിരിക്കും_10.mp3]	"<img src=""0002_ആയിരിക്കും_10.jpg"">"
0003_ഒപ്പം_01	ഒപ്പം	"""ഒപ്പം"" (Oppam) in Malayalam means ""together with,"" ""along with,"" or ""besides."""	ഞാൻ അമ്മയുടെ ഒപ്പം പോയി.	/ɲaːn̪ ɐmːɐjuːɖeː oppɐm poːyiː/	I went with my mother.	[sound:0003_ഒപ്പം_01.mp3]	"<img src=""0003_ഒപ്പം_01.jpg"">"
0003_ഒപ്പം_02	ഒപ്പം	"""ഒപ്പം"" (Oppam) in Malayalam means ""together with,"" ""along with,"" or ""besides."""	അവൻ എന്റെ ഒപ്പം ഉണ്ട്.	/ɐʋɐn̪ endeː oppɐm uɳɖɨ̆/	He is with me.	[sound:0003_ഒപ്പം_02.mp3]	"<img src=""0003_ഒപ്പം_02.jpg"">"
0003_ഒപ്പം_03	ഒപ്പം	"""ഒപ്പം"" (Oppam) in Malayalam means ""together with,"" ""along with,"" or ""besides."""	അവൾ അവന്റെ ഒപ്പം കളിച്ചു.	/ɐʋɐɭ ɐʋɐn̪deː oppɐm kɐɭit͡ʃːu/	She played with him.	[sound:0003_ഒപ്പം_03.mp3]	"<img src=""0003_ഒപ്പം_03.jpg"">"
0003_ഒപ്പം_04	ഒപ്പം	"""ഒപ്പം"" (Oppam) in Malayalam means ""together with,"" ""along with,"" or ""besides."""	അവർ ഒപ്പം നടന്നു.	/ɐʋɐr oppɐm nɐɖɐn̪n̪u/	They walked together.	[sound:0003_ഒപ്പം_04.mp3]	"<img src=""0003_ഒപ്പം_04.jpg"">"
0003_ഒപ്പം_05	ഒപ്പം	"""ഒപ്പം"" (Oppam) in Malayalam means ""together with,"" ""along with,"" or ""besides."""	എനിക്ക് ഒരു പേന ഒപ്പം ഒരു പുസ്തകവും വേണം.	/enikːɨ̆ oru peːnɐ oppɐm oru pustɐkɐvum veːɳɐm/	I need a pen along with a book.	[sound:0003_ഒപ്പം_05.mp3]	"<img src=""0003_ഒപ്പം_05.jpg"">"
0003_ഒപ്പം_06	ഒപ്പം	"""ഒപ്പം"" (Oppam) in Malayalam means ""together with,"" ""along with,"" or ""besides."""	അച്ഛൻ എന്റെ ഒപ്പം വരും.	/ɐt͡ʃːʰɐn̪ endeː oppɐm vɐrum/	Father will come with me.	[sound:0003_ഒപ്പം_06.mp3]	"<img src=""0003_ഒപ്പം_06.jpg"">"
0003_ഒപ്പം_07	ഒപ്പം	"""ഒപ്പം"" (Oppam) in Malayalam means ""together with,"" ""along with,"" or ""besides."""	അവൾ പാട്ടുപാടി, ഒപ്പം നൃത്തം ചെയ്തു.	/ɐʋɐɭ paːt̪ːɨ̆ paːɖi oppɐm nrɨt̪ːɐm t͡ʃeːyt͡ʃu/	She sang and danced as well.	[sound:0003_ഒപ്പം_07.mp3]	"<img src=""0003_ഒപ്പം_07.jpg"">"
0003_ഒപ്പം_08	ഒപ്പം	"""ഒപ്പം"" (Oppam) in Malayalam means ""together with,"" ""along with,"" or ""besides."""	പരീക്ഷ ഒപ്പം പഠനം പ്രധാനമാണ്.	/pɐriːkʂɐ oppɐm pɐɖɐnɐm prɐd͡ʒʰaːnɐmaːɳɨ̆/	Exams and studies are important.	[sound:0003_ഒപ്പം_08.mp3]	"<img src=""0003_ഒപ്പം_08.jpg"">"
0003_ഒപ്പം_09	ഒപ്പം	"""ഒപ്പം"" (Oppam) in Malayalam means ""together with,"" ""along with,"" or ""besides."""	ഞങ്ങൾ ഒപ്പം സിനിമക്ക് പോയിരുന്നു.	/ɲɐŋŋɐɭ oppɐm sinimɐkːɨ̆ poːyirun̪n̪u/	We had gone to the cinema together.	[sound:0003_ഒപ്പം_09.mp3]	"<img src=""0003_ഒപ്പം_09.jpg"">"
0003_ഒപ്പം_10	ഒപ്പം	"""ഒപ്പം"" (Oppam) in Malayalam means ""together with,"" ""along with,"" or ""besides."""	അവൻ എന്നെ ഒപ്പം കൂട്ടാൻ പറഞ്ഞു.	/ɐʋɐn̪ enneː oppɐm kuːt̪ːaːn̪ pɐrɐɲːu/	He asked me to join (him).	[sound:0003_ഒപ്പം_10.mp3]	"<img src=""0003_ഒപ്പം_10.jpg"">"
0004_എ_01	എ	The character എ is pronounced as /e/ and represents the vowel 'e' in Malayalam, often used in various words and contexts.	എന്റെ പേര് എന്നാണ്	/enʈe peɾe ɛnːaːɳʊ/	What is my name?	[sound:0004_എ_01.mp3]	"<img src=""0004_എ_01.jpg"">"
0004_എ_02	എ	The character എ is pronounced as /e/ and represents the vowel 'e' in Malayalam, often used in various words and contexts.	അവൻ എത്ര വയസ്സാണ്	/əʋən etɾə ʋajassɑːɳʊ/	How old is he?	[sound:0004_എ_02.mp3]	"<img src=""0004_എ_02.jpg"">"
0004_എ_03	എ	The character എ is pronounced as /e/ and represents the vowel 'e' in Malayalam, often used in various words and contexts.	എല്ലാ ദിവസവും എനിക്ക് പഠിക്കാം	/eɭɭa diʋasəʋu̥m enikʲ pɑtʰikʲkaːm/	I can study every day.	[sound:0004_എ_03.mp3]	"<img src=""0004_എ_03.jpg"">"
0004_എ_04	എ	The character എ is pronounced as /e/ and represents the vowel 'e' in Malayalam, often used in various words and contexts.	കേരളത്തിലെ എറണാകുളം	/keɾɑɭɑtːile ɛɾɳaːkuɭɑm/	Ernakulam in Kerala.	[sound:0004_എ_04.mp3]	"<img src=""0004_എ_04.jpg"">"
0004_എ_05	എ	The character എ is pronounced as /e/ and represents the vowel 'e' in Malayalam, often used in various words and contexts.	എന്റെ അമ്മയുടെ പേര് എലിസബത്ത്	/enʈe amʲajude peɾe elizabatʰ/	My mother's name is Elizabeth.	[sound:0004_എ_05.mp3]	"<img src=""0004_എ_05.jpg"">"
0004_എ_06	എ	The character എ is pronounced as /e/ and represents the vowel 'e' in Malayalam, often used in various words and contexts.	വീട്ടിൽ എത്ര പേർ ഉണ്ട്	/ʋiːʈʈil etɾə peɾ uɳʈʊ/	How many people are at home?	[sound:0004_എ_06.mp3]	"<img src=""0004_എ_06.jpg"">"
0004_എ_07	എ	The character എ is pronounced as /e/ and represents the vowel 'e' in Malayalam, often used in various words and contexts.	എന്റെ സുഹൃത്ത് എബിന്	/enʈe suhɾutː ɛbin/	My friend is Ebin.	[sound:0004_എ_07.mp3]	"<img src=""0004_എ_07.jpg"">"
0004_എ_08	എ	The character എ is pronounced as /e/ and represents the vowel 'e' in Malayalam, often used in various words and contexts.	ഞാൻ എങ്ങോട്ട് പോകുന്നു	/ɲaːn eŋɡoʈʈ pokuɳɳu/	Where am I going?	[sound:0004_എ_08.mp3]	"<img src=""0004_എ_08.jpg"">"
0004_എ_09	എ	The character എ is pronounced as /e/ and represents the vowel 'e' in Malayalam, often used in various words and contexts.	എന്റെ വീട് എവിടെയാണ്	/enʈe ʋiːʈ eʋiʈejɑːɳʊ/	Where is my house?	[sound:0004_എ_09.mp3]	"<img src=""0004_എ_09.jpg"">"
0004_എ_10	എ	The character എ is pronounced as /e/ and represents the vowel 'e' in Malayalam, often used in various words and contexts.	അവൾ എന്നെ എങ്ങനെ സ്നേഹിക്കുന്നു	/aʋəl enʈe eŋɡɛne sneːhikkunnu/	How does she love me?	[sound:0004_എ_10.mp3]	"<img src=""0004_എ_10.jpg"">"
0005_യുടെ_01	യുടെ	The word യുടെ means 'of' or 'belonging to' in English, used to show possession or relationship.	എന്റെ പുസ്തകം യുടെ പേര് മലയാളം.	/enʲte puʂtʰakəm juʈe peːrə maləjaːɭəm/	The name of my book is in Malayalam.	[sound:0005_യുടെ_01.mp3]	"<img src=""0005_യുടെ_01.jpg"">"
0005_യുടെ_02	യുടെ	The word യുടെ means 'of' or 'belonging to' in English, used to show possession or relationship.	അമ്മയുടെ പേര് സാറ.	/amʲːajjuʈe peːrə saːrs/	Mom's name is Sar.	[sound:0005_യുടെ_02.mp3]	"<img src=""0005_യുടെ_02.jpg"">"
0005_യുടെ_03	യുടെ	The word യുടെ means 'of' or 'belonging to' in English, used to show possession or relationship.	എന്റെ യുടെ സുഹൃത്ത് ഇവിടെയുണ്ട്.	/enʲte juʈe suhṛt̪ iviʈejuɳʈ/	My friend is here.	[sound:0005_യുടെ_03.mp3]	"<img src=""0005_യുടെ_03.jpg"">"
0005_യുടെ_04	യുടെ	The word യുടെ means 'of' or 'belonging to' in English, used to show possession or relationship.	ഞാൻ എന്റെ യുടെ പുസ്തകം വായിക്കുന്നു.	/ɲaːn enʲte juʈe puʂtʰakəm vaːjikkunnu/	I am reading my book.	[sound:0005_യുടെ_04.mp3]	"<img src=""0005_യുടെ_04.jpg"">"
0005_യുടെ_05	യുടെ	The word യുടെ means 'of' or 'belonging to' in English, used to show possession or relationship.	അവളുടെ പിതാവ് ഒരു ഡോക്ടർ.	/avaljuʈe pit̪aːv oru doːkt̪ər/	Her father is a doctor.	[sound:0005_യുടെ_05.mp3]	"<img src=""0005_യുടെ_05.jpg"">"
0005_യുടെ_06	യുടെ	The word യുടെ means 'of' or 'belonging to' in English, used to show possession or relationship.	എന്റെ അമ്മയുടെ സ്വപ്നം ഞാൻ ഡോക്ടർ.	/enʲte amʲːajjuʈe swapnəm ɲaːn doːkt̪ər/	My mother's dream is I am a doctor.	[sound:0005_യുടെ_06.mp3]	"<img src=""0005_യുടെ_06.jpg"">"
0005_യുടെ_07	യുടെ	The word യുടെ means 'of' or 'belonging to' in English, used to show possession or relationship.	ഞാൻ എന്റെ യുടെ ജോലി ചെയ്യുന്നു.	/ɲaːn enʲte juʈe d͡ʒoːli t͡ʃejjunnu/	I am doing my job.	[sound:0005_യുടെ_07.mp3]	"<img src=""0005_യുടെ_07.jpg"">"
0005_യുടെ_08	യുടെ	The word യുടെ means 'of' or 'belonging to' in English, used to show possession or relationship.	അവന്റെ യുടെ സുഹൃത്തുക്കൾ എല്ലാം ഇവിടെ.	/avanʲte juʈe suhṛt̪tukkaɭ elɭaːm iviʈe/	All his friends are here.	[sound:0005_യുടെ_08.mp3]	"<img src=""0005_യുടെ_08.jpg"">"
0005_യുടെ_09	യുടെ	The word യുടെ means 'of' or 'belonging to' in English, used to show possession or relationship.	എന്റെ യുടെ അമ്മയും പിതാവും എന്നെ സ്നേഹിക്കുന്നു.	/enʲte juʈe amʲːajjuːm pit̪aːvum enne snehikkunnu/	My mom and dad love me.	[sound:0005_യുടെ_09.mp3]	"<img src=""0005_യുടെ_09.jpg"">"
0005_യുടെ_10	യുടെ	The word യുടെ means 'of' or 'belonging to' in English, used to show possession or relationship.	അവരുടെ യുടെ പുസ്തകങ്ങൾ എല്ലാം മലയാളത്തിലാണ്.	/avarjuʈe juʈe puʂtʰakangɡaɭ elɭaːm maləjaːɭat̪t̪ilɑːɳ/	All their books are in Malayalam.	[sound:0005_യുടെ_10.mp3]	"<img src=""0005_യുടെ_10.jpg"">"
0006_വരെ_01	വരെ	The word വരെ means 'until' or 'till' in English, indicating a point in time or a duration.	ഞാൻ വരെ വരില്ല	/ɲaːn ʋəre ʋəriːlʲ/	I will come till then	[sound:0006_വരെ_01.mp3]	"<img src=""0006_വരെ_01.jpg"">"
0006_വരെ_02	വരെ	The word വരെ means 'until' or 'till' in English, indicating a point in time or a duration.	നിങ്ങൾ വരെ കാത്തിരിക്കുന്നു	/niŋɡəl ʋəre kaːt̪t̪irikkuɳɳu/	I am waiting till you come	[sound:0006_വരെ_02.mp3]	"<img src=""0006_വരെ_02.jpg"">"
0006_വരെ_03	വരെ	The word വരെ means 'until' or 'till' in English, indicating a point in time or a duration.	ഞാൻ രാത്രി വരെ ജോലി ചെയ്യും	/ɲaːn raːt̪ri ʋəre dʒoːli t͡ʃejjum/	I will work until night	[sound:0006_വരെ_03.mp3]	"<img src=""0006_വരെ_03.jpg"">"
0006_വരെ_04	വരെ	The word വരെ means 'until' or 'till' in English, indicating a point in time or a duration.	നമ്മൾ വരെ പോകില്ല	/namməl ʋəre poːkilʲ/	We will not go until then	[sound:0006_വരെ_04.mp3]	"<img src=""0006_വരെ_04.jpg"">"
0006_വരെ_05	വരെ	The word വരെ means 'until' or 'till' in English, indicating a point in time or a duration.	അവൻ വരെ വന്നിട്ടില്ല	/əʋən ʋəre ʋənːit̪t̪ilʲ/	He has not come until now	[sound:0006_വരെ_05.mp3]	"<img src=""0006_വരെ_05.jpg"">"
0006_വരെ_06	വരെ	The word വരെ means 'until' or 'till' in English, indicating a point in time or a duration.	ഞാൻ വരെ പഠിക്കും	/ɲaːn ʋəre pət̪t̪ikkuɳɳum/	I will study till then	[sound:0006_വരെ_06.mp3]	"<img src=""0006_വരെ_06.jpg"">"
0006_വരെ_07	വരെ	The word വരെ means 'until' or 'till' in English, indicating a point in time or a duration.	നിങ്ങൾക്ക് വരെ കഴിയും	/niŋɡəlk ʋəre kaʒijum/	You can do it until then	[sound:0006_വരെ_07.mp3]	"<img src=""0006_വരെ_07.jpg"">"
0006_വരെ_08	വരെ	The word വരെ means 'until' or 'till' in English, indicating a point in time or a duration.	അവൾ വരെ വരികയാണ്	/əʋəl ʋəre ʋərikəjaːɳ/	She will come until then	[sound:0006_വരെ_08.mp3]	"<img src=""0006_വരെ_08.jpg"">"
0006_വരെ_09	വരെ	The word വരെ means 'until' or 'till' in English, indicating a point in time or a duration.	ഞാൻ വരെ കണ്ടിട്ടില്ല	/ɲaːn ʋəre kənːit̪t̪ilʲ/	I have not seen until now	[sound:0006_വരെ_09.mp3]	"<img src=""0006_വരെ_09.jpg"">"
0006_വരെ_10	വരെ	The word വരെ means 'until' or 'till' in English, indicating a point in time or a duration.	നമ്മൾ വരെ ഒരുമിച്ച് പോകും	/namməl ʋəre orumitt͡ʃ pɔːkum/	We will go together until then	[sound:0006_വരെ_10.mp3]	"<img src=""0006_വരെ_10.jpg"">"
0007_ഇൻ_01	ഇൻ	The word ഇൻ means 'in' or 'inside', used to indicate a location or position within something.	ഞാൻ ഇൻ കിടക്കുന്നു	/ɲaːn ɪn kiʈəkʊɳɳu/	I am in	[sound:0007_ഇൻ_01.mp3]	"<img src=""0007_ഇൻ_01.jpg"">"
0007_ഇൻ_02	ഇൻ	The word ഇൻ means 'in' or 'inside', used to indicate a location or position within something.	ഇൻ കുട്ടികൾ കളിക്കുന്നു	/ɪn kuʈʈikaɭ kəɭikkʊɳɳu/	The kids are playing inside	[sound:0007_ഇൻ_02.mp3]	"<img src=""0007_ഇൻ_02.jpg"">"
0007_ഇൻ_03	ഇൻ	The word ഇൻ means 'in' or 'inside', used to indicate a location or position within something.	മഞ്ഞ ഇൻ കാർ ഉണ്ട്	/maɲɲa ɪn kaːr uɳʈʊ/	There is a yellow car inside	[sound:0007_ഇൻ_03.mp3]	"<img src=""0007_ഇൻ_03.jpg"">"
0007_ഇൻ_04	ഇൻ	The word ഇൻ means 'in' or 'inside', used to indicate a location or position within something.	നിങ്ങൾ ഇൻ വന്നത് എപ്പോളാണ്	/niŋŋaɭ ɪn van̪nət ɛppoːɭaːɳ/	When did you come in	[sound:0007_ഇൻ_04.mp3]	"<img src=""0007_ഇൻ_04.jpg"">"
0007_ഇൻ_05	ഇൻ	The word ഇൻ means 'in' or 'inside', used to indicate a location or position within something.	ഇൻ വീട്ടിൽ ആരുമില്ല	/ɪn viːʈʈil aːrumillə/	There is no one inside the house	[sound:0007_ഇൻ_05.mp3]	"<img src=""0007_ഇൻ_05.jpg"">"
0007_ഇൻ_06	ഇൻ	The word ഇൻ means 'in' or 'inside', used to indicate a location or position within something.	ഞാൻ ഇൻ പോകും	/ɲaːn ɪn poːkʊm/	I will go in	[sound:0007_ഇൻ_06.mp3]	"<img src=""0007_ഇൻ_06.jpg"">"
0007_ഇൻ_07	ഇൻ	The word ഇൻ means 'in' or 'inside', used to indicate a location or position within something.	ഇൻ ഒരു മിനിറ്റ് കഴിഞ്ഞു	/ɪn oru miniʈʈ kaʐiɲɲu/	A minute has passed inside	[sound:0007_ഇൻ_07.mp3]	"<img src=""0007_ഇൻ_07.jpg"">"
0007_ഇൻ_08	ഇൻ	The word ഇൻ means 'in' or 'inside', used to indicate a location or position within something.	ഇൻ കാര്യങ്ങൾ നല്ലതാണ്	/ɪn kaːrjaŋŋaɭ nəɭɭət̪aːɳ/	The things inside are good	[sound:0007_ഇൻ_08.mp3]	"<img src=""0007_ഇൻ_08.jpg"">"
0007_ഇൻ_09	ഇൻ	The word ഇൻ means 'in' or 'inside', used to indicate a location or position within something.	അവൻ ഇൻ കയറി വന്നു	/əvən ɪn kəjaʈi van̪n̪u/	He came in climbing	[sound:0007_ഇൻ_09.mp3]	"<img src=""0007_ഇൻ_09.jpg"">"
0007_ഇൻ_10	ഇൻ	The word ഇൻ means 'in' or 'inside', used to indicate a location or position within something.	ഇൻ ഒരു ദിവസം എന്തെങ്കിലും സംഭവിക്കും	/ɪn oru divəsəm entʰeŋkilum səmbʱəvikʷʊm/	One day something will happen inside	[sound:0007_ഇൻ_10.mp3]	"<img src=""0007_ഇൻ_10.jpg"">"
